top1_class,top2_class
24,0
0,9
18,20
0,11
0,2
0,18
5,24
0,10
0,4
0,18
4,0
1,14
1,6
1,10
1,5
1,0
1,5
1,6
16,1
1,3
2,0
2,0
2,0
26,2
2,4
0,2
0,2
2,18
2,0
3,14
1,14
14,5
3,14
4,3
3,4
3,19
4,3
4,20
18,20
20,24
4,18
4,3
4,2
4,3
4,18
4,18
5,14
5,16
5,14
5,14
5,14
10,5
5,14
5,4
5,1
5,1
14,5
6,10
5,6
6,10
6,10
6,1
6,1
6,10
1,6
6,0
10,6
8,7
8,7
7,8
8,7
8,7
8,7
8,7
8,9
8,7
7,8
8,7
7,8
8,7
8,7
7,8
8,7
9,8
9,8
9,8
9,8
7,9
9,8
9,8
9,10
9,8
9,8
6,0
10,6
10,6
10,6
10,1
10,5
6,10
10,6
10,6
12,11
12,11
11,18
17,11
11,12
11,12
11,12
17,11
11,12
21,24
12,21
21,11
12,11
11,12
12,21
12,21
13,16
13,16
13,16
13,14
13,6
13,6
16,13
14,1
14,10
13,14
14,10
14,5
14,5
14,5
14,16
15,24
15,21
15,3
15,0
15,19
15,25
16,13
16,14
16,25
16,25
16,13
16,6
16,13
16,6
20,18
18,21
17,20
17,20
17,11
17,21
17,18
12,21
17,20
24,20
18,20
18,20
18,20
18,11
18,20
18,20
18,17
18,20
18,11
18,20
19,13
19,23
19,24
3,4
24,19
19,23
19,22
19,23
18,20
20,17
4,18
20,4
18,20
18,20
18,24
4,20
20,18
21,12
21,24
21,12
21,12
20,17
21,12
21,12
21,24
21,11
17,20
19,23
23,22
20,22
22,23
3,19
24,23
4,22
16,19
24,22
19,24
23,22
23,19
23,22
23,22
23,22
23,19
24,21
24,18
20,18
24,20
24,21
24,20
25,16
25,16
25,13
25,26
25,16
25,16
25,16
25,6
25,16
25,26
25,15
25,16
2,26
26,0
26,2
26,0
26,2
26,20
26,2
26,25
